o_cz,o_cz_name,o_state_name,d_cz,d_cz_name,d_state_name,n,n_tot_o,n_tot_d,pool
39203,Bend,Oregon,27201,Sioux Center,Iowa,0,67,37,Black
39203,Bend,Oregon,28704,Laramie,Wyoming,0,67,61,Black
39203,Bend,Oregon,26002,Duluth,Minnesota,0,67,546,Black
39203,Bend,Oregon,32503,Haskell,Texas,0,67,30,Black
39203,Bend,Oregon,8501,Fitzgerald,Georgia,0,67,975,Black
39203,Bend,Oregon,9500,Talladega,Alabama,0,67,4807,Black
39203,Bend,Oregon,22601,Green Bay,Wisconsin,0,67,920,Black
39203,Bend,Oregon,12903,Danville,Kentucky,0,67,392,Black
39203,Bend,Oregon,34203,Great Falls,Montana,0,67,269,Black
39203,Bend,Oregon,39203,Bend,Oregon,24,67,128,Black
39203,Bend,Oregon,12502,Washington Court House,Ohio,0,67,228,Black
39203,Bend,Oregon,11500,Jackson,Michigan,0,67,1513,Black
39203,Bend,Oregon,34107,Dillingham,Alaska,0,67,-1,Black
39203,Bend,Oregon,31800,College Station,Texas,0,67,3992,Black
39203,Bend,Oregon,27601,Rapid City,South Dakota,0,67,367,Black
39203,Bend,Oregon,32306,Eagle Pass,Texas,0,67,27,Black
39203,Bend,Oregon,17700,Syracuse,New York,0,67,7701,Black
39203,Bend,Oregon,34102,Anchorage,Alaska,0,67,2208,Black
39203,Bend,Oregon,37903,Mammoth Lakes,California,0,67,28,Black
39203,Bend,Oregon,31004,Liberal,Kansas,0,67,73,Black
39203,Bend,Oregon,1400,Fayetteville,North Carolina,1,67,25147,Black
39203,Bend,Oregon,26106,Centerville,Iowa,0,67,19,Black
39203,Bend,Oregon,30100,Fort Smith,Arkansas,0,67,1504,Black
39203,Bend,Oregon,26301,Devils Lake,North Dakota,0,67,4,Black
39203,Bend,Oregon,4102,Pine Bluff,Arkansas,0,67,6994,Black
39203,Bend,Oregon,7000,Miami,Florida,0,67,89066,Black
39203,Bend,Oregon,18600,Albany,New York,0,67,8472,Black
39203,Bend,Oregon,9400,Gainesville,Georgia,0,67,2388,Black
39203,Bend,Oregon,33000,Fort Worth,Texas,0,67,38634,Black
39203,Bend,Oregon,35803,McCall,Idaho,0,67,0,Black
39203,Bend,Oregon,8602,Brunswick,Georgia,0,67,2860,Black
39203,Bend,Oregon,3500,Baton Rouge,Louisiana,0,67,42723,Black
39203,Bend,Oregon,1302,Florence,South Carolina,0,67,22350,Black
39203,Bend,Oregon,16300,Pittsburgh,Pennsylvania,0,67,24967,Black
39203,Bend,Oregon,27703,Torrington,Wyoming,0,67,21,Black
39203,Bend,Oregon,12002,Ludington,Michigan,0,67,41,Black
39203,Bend,Oregon,15000,Canton,Ohio,0,67,3973,Black
39203,Bend,Oregon,4302,Searcy,Arkansas,0,67,890,Black
39203,Bend,Oregon,12600,Wayne,Indiana,0,67,385,Black
39203,Bend,Oregon,20600,Manchester,New Hampshire,0,67,1381,Black
39203,Bend,Oregon,25300,Union City,Tennessee,0,67,1038,Black
39203,Bend,Oregon,38902,Newport,Oregon,0,67,29,Black
39203,Bend,Oregon,13200,Owensboro,Kentucky,0,67,704,Black
39203,Bend,Oregon,1203,Asheville,North Carolina,0,67,2413,Black
